project,loc,category,mechanism,api,owner,detail
freiheit-diy,freiheit-diy/Assets/Oculus/VR/Scripts/OVRKtxTexture.cs:64:4:64:74,Asynchronous Invocation Flows,UnresolvedStringCallback,UnresolvedUnityStringAPI,OVRKtxTexture,callback=Failed to get texture data from Ktx texture reference; target name unresolvable (UnityEngine types unavailable)
freiheit-diy,freiheit-diy/Assets/Oculus/VR/Scripts/OVRManager.cs:1840:18:1840:22,Lifecycle-Driven State Flows,Initialization,Awake,OVRManager,MonoBehaviour callback declaration (name-based; UnityEngine types unavailable)
freiheit-diy,freiheit-diy/Assets/Oculus/VR/Scripts/OVRManager.cs:1941:18:1941:23,Lifecycle-Driven State Flows,GameLogic,Update,OVRManager,MonoBehaviour callback declaration (name-based; UnityEngine types unavailable)
freiheit-diy,freiheit-diy/Assets/Oculus/VR/Scripts/OVRManager.cs:2394:18:2394:26,Lifecycle-Driven State Flows,DecommissionOrApplication,OnDisable,OVRManager,MonoBehaviour callback declaration (name-based; UnityEngine types unavailable)
freiheit-diy,freiheit-diy/Assets/Oculus/VR/Scripts/OVRManager.cs:2403:18:2403:27,Lifecycle-Driven State Flows,GameLogic,LateUpdate,OVRManager,MonoBehaviour callback declaration (name-based; UnityEngine types unavailable)
freiheit-diy,freiheit-diy/Assets/Oculus/VR/Scripts/OVRManager.cs:2416:18:2416:28,Lifecycle-Driven State Flows,Physics,FixedUpdate,OVRManager,MonoBehaviour callback declaration (name-based; UnityEngine types unavailable)
freiheit-diy,freiheit-diy/Assets/Oculus/VR/Scripts/OVRManager.cs:2421:18:2421:26,Lifecycle-Driven State Flows,DecommissionOrApplication,OnDestroy,OVRManager,MonoBehaviour callback declaration (name-based; UnityEngine types unavailable)
freiheit-diy,freiheit-diy/Assets/Oculus/VR/Scripts/OVRManager.cs:2430:18:2430:35,Lifecycle-Driven State Flows,DecommissionOrApplication,OnApplicationPause,OVRManager,MonoBehaviour callback declaration (name-based; UnityEngine types unavailable)
freiheit-diy,freiheit-diy/Assets/Oculus/VR/Scripts/OVRManager.cs:2454:18:2454:34,Lifecycle-Driven State Flows,DecommissionOrApplication,OnApplicationQuit,OVRManager,MonoBehaviour callback declaration (name-based; UnityEngine types unavailable)
freiheit-diy,freiheit-diy/Assets/Oculus/VR/Scripts/OVRManager.cs:1266:17:1266:61,Asynchronous Invocation Flows,UnresolvedStringCallback,UnresolvedUnityStringAPI,OVRManager,callback=GPU Util is not supported; target name unresolvable (UnityEngine types unavailable)
freiheit-diy,freiheit-diy/Assets/Oculus/VR/Scripts/OVRManager.cs:1657:9:1657:101,Asynchronous Invocation Flows,UnresolvedStringCallback,UnresolvedUnityStringAPI,OVRManager,"callback=SystemHeadset {0}, API {1}; target name unresolvable (UnityEngine types unavailable)"
freiheit-diy,freiheit-diy/Assets/Oculus/VR/Scripts/OVRManager.cs:1661:13:1661:93,Asynchronous Invocation Flows,UnresolvedStringCallback,UnresolvedUnityStringAPI,OVRManager,callback=OpenXR instance 0x{0:X} session 0x{1:X}; target name unresolvable (UnityEngine types unavailable)
freiheit-diy,freiheit-diy/Assets/Oculus/VR/Scripts/OVRManager.cs:1697:13:1697:60,Asynchronous Invocation Flows,UnresolvedStringCallback,UnresolvedUnityStringAPI,OVRManager,callback=This platform is unsupported; target name unresolvable (UnityEngine types unavailable)
freiheit-diy,freiheit-diy/Assets/Oculus/VR/Scripts/OVRManager.cs:1764:9:1765:129,Asynchronous Invocation Flows,UnresolvedStringCallback,UnresolvedUnityStringAPI,OVRManager,"callback=Current display frequency {0}, available frequencies [{1}]; target name unresolvable (UnityEngine types unavailable)"
freiheit-diy,freiheit-diy/Assets/Oculus/VR/Scripts/OVRManager.cs:1806:13:1806:70,Asynchronous Invocation Flows,UnresolvedStringCallback,UnresolvedUnityStringAPI,OVRManager,callback=Local Dimming feature is not supported; target name unresolvable (UnityEngine types unavailable)
freiheit-diy,freiheit-diy/Assets/Oculus/VR/Scripts/OVRManager.cs:1970:13:1970:67,Asynchronous Invocation Flows,UnresolvedStringCallback,UnresolvedUnityStringAPI,OVRManager,callback=[OVRManager] OVRPlugin.shouldQuit detected; target name unresolvable (UnityEngine types unavailable)
freiheit-diy,freiheit-diy/Assets/Oculus/VR/Scripts/OVRManager.cs:2026:17:2026:55,Asynchronous Invocation Flows,UnresolvedStringCallback,UnresolvedUnityStringAPI,OVRManager,callback=[OVRManager] HMDLost event; target name unresolvable (UnityEngine types unavailable)
